nohup: ignoring input
Sanity check …
  encoded  : torch.Size([2, 16, 64, 64])  mean=0.0000  var=1.0000
  logits   : torch.Size([2, 256])
  atk grad : 1.15e-05  ✓
  L_bit    : 0.6963  L_amp : 0.0000
  Acc      : 54.3%
Sanity check passed ✓

Device     : cuda
Parameters : 2,757,297
Warmup     : 1000 epochs (no attack)
Save dir   : ./weights/
============================================================================
    Ep    Loss  L_bit  L_amp    Acc%      α   atk
============================================================================
   100  0.9582 0.6691 0.0013  58.56% 0.2159 0.000
   200  0.8712 0.6106 0.0024  66.24% 0.2250 0.000
   300  0.7848 0.5624 0.0086  71.04% 0.2500 0.000
   400  0.7100 0.5158 0.0077  74.62% 0.2500 0.000
   500  0.6476 0.4709 0.0081  77.66% 0.2500 0.000
   600  0.5862 0.4268 0.0093  80.24% 0.2500 0.000
   700  0.5280 0.3844 0.0101  82.90% 0.2500 0.000
   800  0.4692 0.3408 0.0107  85.42% 0.2500 0.000
   900  0.4266 0.3144 0.0111  87.00% 0.2500 0.000
  1000  0.3955 0.2900 0.0117  88.22% 0.2500 0.000
  1001  0.3931 0.2903 0.0116  88.14% 0.2500 0.000 ★
  1022  0.3896 0.2841 0.0128  88.59% 0.2500 0.001 ★
  1041  0.3867 0.2826 0.0134  88.67% 0.2500 0.003 ★
  1056  0.3796 0.2774 0.0130  88.85% 0.2500 0.004 ★
  1075  0.3672 0.2780 0.0135  89.08% 0.2500 0.005 ★
  1092  0.3688 0.2685 0.0138  89.14% 0.2500 0.006 ★
  1096  0.3693 0.2696 0.0138  89.30% 0.2500 0.007 ★
  1097  0.3676 0.2693 0.0139  89.32% 0.2500 0.007 ★
  1100  0.3807 0.2745 0.0138  88.68% 0.2500 0.007
  1108  0.3627 0.2609 0.0137  89.35% 0.2500 0.007 ★
  1109  0.3575 0.2671 0.0137  89.65% 0.2500 0.008 ★
  1122  0.3584 0.2697 0.0134  89.69% 0.2500 0.008 ★
  1130  0.3545 0.2638 0.0138  89.75% 0.2500 0.009 ★
  1147  0.3540 0.2553 0.0138  89.78% 0.2500 0.010 ★
  1157  0.3494 0.2533 0.0137  89.85% 0.2500 0.011 ★
  1158  0.3448 0.2542 0.0137  89.97% 0.2500 0.011 ★
  1165  0.3433 0.2573 0.0137  90.05% 0.2500 0.011 ★
  1184  0.3433 0.2474 0.0141  90.16% 0.2500 0.013 ★
  1188  0.3372 0.2491 0.0141  90.24% 0.2500 0.013 ★
  1200  0.3367 0.2505 0.0139  90.20% 0.2500 0.014
  1201  0.3363 0.2461 0.0141  90.26% 0.2500 0.014 ★
  1210  0.3329 0.2440 0.0143  90.29% 0.2500 0.015 ★
  1226  0.3353 0.2547 0.0139  90.44% 0.2500 0.016 ★
  1246  0.3271 0.2345 0.0141  90.60% 0.2500 0.017 ★
  1252  0.3232 0.2351 0.0142  90.82% 0.2500 0.018 ★
  1272  0.3218 0.2383 0.0139  90.83% 0.2500 0.019 ★
  1280  0.3171 0.2284 0.0142  90.98% 0.2500 0.020 ★
  1289  0.3166 0.2273 0.0143  91.00% 0.2500 0.020 ★
  1300  0.3254 0.2515 0.0143  90.71% 0.2500 0.021
  1318  0.3115 0.2283 0.0140  91.15% 0.2500 0.022 ★
  1320  0.3116 0.2298 0.0142  91.24% 0.2500 0.022 ★
  1344  0.3094 0.2237 0.0147  91.24% 0.2500 0.024 ★
  1347  0.3049 0.2167 0.0148  91.32% 0.2500 0.024 ★
  1358  0.3032 0.2156 0.0144  91.33% 0.2500 0.025 ★
  1373  0.3049 0.2314 0.0145  91.41% 0.2500 0.026 ★
  1388  0.2991 0.2248 0.0145  91.46% 0.2500 0.027 ★
  1389  0.2992 0.2240 0.0146  91.56% 0.2500 0.027 ★
  1397  0.2964 0.2183 0.0146  91.59% 0.2500 0.028 ★
  1400  0.2978 0.2209 0.0147  91.56% 0.2500 0.028
  1410  0.2965 0.2270 0.0144  91.74% 0.2500 0.029 ★
  1415  0.2901 0.2147 0.0144  91.79% 0.2500 0.029 ★
  1419  0.2908 0.2229 0.0144  91.90% 0.2500 0.029 ★
  1426  0.2839 0.2233 0.0148  92.18% 0.2500 0.030 ★
  1463  0.2818 0.2017 0.0145  92.25% 0.2500 0.032 ★
  1469  0.2763 0.2023 0.0147  92.36% 0.2500 0.033 ★
  1499  0.2722 0.1958 0.0148  92.65% 0.2500 0.035 ★
  1500  0.2898 0.2106 0.0148  91.65% 0.2500 0.035
  1533  0.2676 0.1985 0.0148  92.77% 0.2500 0.037 ★
